Customer Key;WWI Customer ID;Customer;Bill To Customer;Category;Buying Group;Primary Contact;Postal Code
70;70;Tailspin Toys (New Baden, IL);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Mariana Fierro;90235
71;71;Tailspin Toys (Good Hart, MI);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Afshin Djalili;90466
72;72;Tailspin Toys (Cortaro, AZ);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Bianh Phan;90351
73;73;Tailspin Toys (Cokato, MN);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Koknesis Vitols;90311
74;74;Tailspin Toys (Indios, PR);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Roxane Rastgu;90193
75;75;Tailspin Toys (Windsor Locks, CT);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Vlasta Srbova;90456
76;76;Tailspin Toys (Yewed, OK);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Lata Babu;90308
77;77;Tailspin Toys (Hahira, GA);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Airi Vassiljev;90706
78;78;Tailspin Toys (Sekiu, WA);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Duleep Walia;90686
79;79;Tailspin Toys (Page City, KS);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Matyas Macek;90316
80;80;Tailspin Toys (Valdese, NC);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Bharat Ankitham;90541
81;81;Tailspin Toys (Big Moose, NY);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Vera Kubatova;90798
82;82;Tailspin Toys (La Cueva, NM);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Rakesh Nishad;90253
83;83;Tailspin Toys (Absecon, NJ);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Sang Tran;90540
84;84;Tailspin Toys (Aceitunas, PR);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Eekalabya Bose;90213
85;85;Tailspin Toys (Andrix, CO);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Tommy Kilpi;90653
86;86;Tailspin Toys (New Lexington, OH);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Andrea Ricci;90637
87;87;Tailspin Toys (Sauquoit, NY);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Isabell  Duperre;90199
88;88;Tailspin Toys (Dracut, MA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Amarendra Ankitham;90519
89;89;Tailspin Toys (Victory Gardens, NJ);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Aakarsha Nookala;90461
90;90;Tailspin Toys (Tolna, ND);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Stanislav Sedlar;90089
91;91;Tailspin Toys (Alstead, NH);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;GokCe Karaca;90073
92;92;Tailspin Toys (Sans Souci, SC);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Coralie Emond;90553
93;93;Tailspin Toys (Clewiston, FL);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Karina Celmina;90354
94;94;Tailspin Toys (Cheyenne Wells, CO);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Teresa Pisani;90449
95;95;Tailspin Toys (Lavon, TX);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Alba Ponce;90310
96;96;Tailspin Toys (South La Paloma, TX);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Piper Leigh;90792
97;97;Tailspin Toys (Manchester Center, VT);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Karie Seymour;90179
98;98;Tailspin Toys (El Centro, CA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Timea Peto;90573
99;99;Tailspin Toys (Guin, AL);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Victoria Ene;90779
100;100;Tailspin Toys (Tunnelhill, PA);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Bhavani Bhowmick;90788
101;101;Tailspin Toys (Cundiyo, NM);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Yasmine Berggren;90515
102;102;Tailspin Toys (Fieldbrook, CA);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Tea Koppel;90205
103;103;Tailspin Toys (Kalvesta, KS);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Naseem Radan;90130
104;104;Tailspin Toys (Wallagrass, ME);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Laboni Deb;90579
105;105;Tailspin Toys (Tomnolen, MS);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Sung-Hwan Hwang;90400
106;106;Tailspin Toys (Tumacacori, AZ);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Shiva Pipalia;90662
107;107;Tailspin Toys (Glen Avon, CA);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Karie Mercier;90782
108;108;Tailspin Toys (Bernie, MO);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Bhanu Thota;90045
109;109;Tailspin Toys (South Laguna, CA);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Ae-Cha Joo;90247
110;110;Tailspin Toys (North Crows Nest, IN);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Dinara Saparkyzy;90792
111;111;Tailspin Toys (Oriole Beach, FL);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Adam Dvorak;90436
112;112;Tailspin Toys (Sallyards, KS);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Ingrida Celmina;90706
113;113;Tailspin Toys (Dahlia, NM);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Jae-Hwa Jang;90264
114;114;Tailspin Toys (Cherry Grove Beach, SC);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Duck-Hwan Bae;90146
115;115;Tailspin Toys (Bethania, NC);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Jagoda Vasiljevic;90368
116;116;Tailspin Toys (Rafael Capó, PR);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Toma Nastase;90685
117;117;Tailspin Toys (Scofield, UT);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Valerio Cardoso;90237
118;118;Tailspin Toys (Vassalboro, ME);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Ileana Aguilar;90546
119;119;Tailspin Toys (Statenville, GA);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Tjasa Weitzer;90504
120;120;Tailspin Toys (Bratenahl, OH);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Lucas Van Veenen;90154
121;121;Tailspin Toys (Elrosa, MN);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Steven Frasier;90079
122;122;Tailspin Toys (McClave, CO);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Mauri Enestam;90439
123;123;Tailspin Toys (Roe Park, NY);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Ella Zvirbule;90775
124;124;Tailspin Toys (Hanoverton, OH);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Sevim AydÄ±n;90770
125;125;Tailspin Toys (Annamoriah, WV);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Blanka Stavinohova;90485
126;126;Tailspin Toys (Francis Mills, NJ);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Akanksha Iyengar;90743
127;127;Tailspin Toys (Point Roberts, WA);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Kertu Smirnov;90504
128;128;Tailspin Toys (East Portal, CO);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Jure Grabensek;90432
129;129;Tailspin Toys (Mineral Hills, MI);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Javiera Madera;90442
130;130;Tailspin Toys (Maple Shade, NJ);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Aija Mottola;90549
131;131;Tailspin Toys (Kwethluk, AK);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Darshan Gupta;90759
132;132;Tailspin Toys (Minidoka, ID);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Akanksha Sarma;90324
133;133;Tailspin Toys (Lake Erie Beach, NY);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Aino Kallas;90186
134;134;Tailspin Toys (Tavares, FL);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;An Dung Phung;90467
135;135;Tailspin Toys (Terre du Lac, MO);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Gaurav Sikdar;90145
136;136;Tailspin Toys (Mount Montgomery, NV);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Anirban Sen;90302
137;137;Tailspin Toys (Carbonville, UT);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Chandrakanta Benjaree;90339
138;138;Tailspin Toys (Navassa, NC);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Badari Chadalavada;90535
139;139;Tailspin Toys (Hardeeville, SC);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Gabriele Udinesi;90005
140;140;Tailspin Toys (Furley, KS);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Malay PrabhupÄda;90416
141;141;Tailspin Toys (Arrow Rock, MO);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Hedi Koppel;90639
142;142;Tailspin Toys (King Cove, AK);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Denisa Ioveanu;90457
143;143;Tailspin Toys (Ashtabula, OH);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Vaclav Polaskova;90119
144;144;Tailspin Toys (Larose, LA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Pramod Nishad;90342
145;145;Tailspin Toys (Manahawkin, NJ);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Prasong Tuntayakul;90686
146;146;Tailspin Toys (Belgreen, AL);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Aija Zvaigzne;90735
147;147;Tailspin Toys (Fishtail, MT);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Gilbert Pelland;90432
148;148;Tailspin Toys (Baraboo, WI);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Marcella Napolitani;90165
149;149;Tailspin Toys (Inguadona, MN);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Femke Hollenberg;90245
150;150;Tailspin Toys (Corfu, NY);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Brita Jarvi;90690
151;151;Tailspin Toys (Antares, AZ);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Donato Araujo;90385
152;152;Tailspin Toys (Sun River, MT);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Aleksander Jarvi;90309
153;153;Tailspin Toys (Marcell, MN);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Malati Shenoy;90729
154;154;Tailspin Toys (Eden Valley, MN);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Gui-Hyun Ji;90367
155;155;Tailspin Toys (Arbor Vitae, WI);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Michal Polaskova;90333
156;156;Tailspin Toys (Hollywood Park, TX);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Dilara Ayhan;90405
157;157;Tailspin Toys (Saks, AL);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Peter Macias;90362
158;158;Tailspin Toys (Donner, LA);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Kurt Lukes;90567
159;159;Tailspin Toys (Saint Louis Park, MN);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Beatrise Bite;90401
160;160;Tailspin Toys (Crary, ND);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Bishwanath Ghosh;90248
161;161;Tailspin Toys (Aspen Park, CO);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Gianguido Lucchesi;90644
162;162;Tailspin Toys (Glen Park, NY);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Nu Bach;90026
163;163;Tailspin Toys (Panaca, NV);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Ivonna Ene;90297
164;164;Tailspin Toys (Rothsville, PA);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Ceyhun sahin;90538
165;165;Tailspin Toys (Topstone, CT);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Tian Peng;90675
166;166;Tailspin Toys (McCamey, TX);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Vlastimil Bohuslav;90434
167;167;Tailspin Toys (Rockwall, TX);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Nejc Vosnik;90294
168;168;Tailspin Toys (Seagraves, TX);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Anindo Mazumdar;90453
169;169;Tailspin Toys (Sinclair, WY);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Nils Balodis;90401
170;170;Tailspin Toys (Eastchester, NY);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Daniella Barbosa;90031
171;171;Tailspin Toys (Ortley Beach, NJ);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Raymond Levesque;90179
172;172;Tailspin Toys (Madrone, NM);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Raymond Desforges;90617
173;173;Tailspin Toys (Wappingers Falls, NY);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Raju Atluri;90681
174;174;Tailspin Toys (Astor Park, FL);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Matyas Bohuslav;90179
175;175;Tailspin Toys (San Acacia, NM);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Julio Correa;90445
176;176;Tailspin Toys (Malott, WA);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Banshari De;90015
177;177;Tailspin Toys (Orrtanna, PA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Ngai Lam;90008
178;178;Tailspin Toys (Armstrong Creek, WI);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Hyun-Doo Song;90397
179;179;Tailspin Toys (Hiteman, IA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Gabriela Srbova;90212
180;180;Tailspin Toys (Caselton, NV);Tailspin Toys (Head Office);Quiosk ;Tailspin Toys;Serkan senturk;90747
181;181;Tailspin Toys (Heilwood, PA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Aahlada Thota;90300
182;182;Tailspin Toys (Hayes Center, NE);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Ayberk sahin;90352
183;183;Tailspin Toys (Tierra Verde, FL);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Kaan Tekin;90195
184;184;Tailspin Toys (South Euclid, OH);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Lata Khandke;90551
185;185;Tailspin Toys (Vidrine, LA);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Truman Eder;90272
186;186;Tailspin Toys (Placer, OR);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Lorraine Paulet;90628
187;187;Tailspin Toys (Brown City, MI);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Biplab De;90503
188;188;Tailspin Toys (Premont, TX);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Rachelle Brasseur;90375
189;189;Tailspin Toys (Wilkes-Barre, PA);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Sara Charlton;90766
190;190;Tailspin Toys (Teutopolis, IL);Tailspin Toys (Head Office);Kiosk;Tailspin Toys;Ramesh Mukherjee;90591
191;191;Tailspin Toys (Orchard Hill, GA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Ester Ahmadian;90698
192;192;Tailspin Toys (Optimo, NM);Tailspin Toys (Head Office);GiftShop;Tailspin Toys;Daniel Magnusson;90080
193;193;Tailspin Toys (Knifley, KY);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Jack Carpenter;90298
194;194;Tailspin Toys (Naples Park, FL);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Thomas Fischer;90386
195;195;Tailspin Toys (Lesslie, SC);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Viollette Monty;90771
196;196;Tailspin Toys (Howells, NE);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Alinne Cardoso;90444
197;197;Tailspin Toys (Magalia, CA);Tailspin Toys (Head Office);Kiosk;Tailspin Toys;Mani Poddar;90226
198;198;Tailspin Toys (Buell, MO);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Deakshitulu Mokkapati;90113
199;199;Tailspin Toys (Antonito, CO);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Cezar Pavel;90346
200;200;Tailspin Toys (Tooele, UT);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Fanni Benko;90100
201;201;Tailspin Toys (Skyway, WA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Brenda Morgan;90588
202;401;Wingtip Toys (Head Office);Wingtip Toys (Head Office);Novelty Shop;Wingtip Toys;Olga Alexandrova;90625
203;402;Wingtip Toys (Black Lick, PA);Wingtip Toys (Head Office);Gas Station Shop;Wingtip Toys;Maris Baltins;90477
204;403;Wingtip Toys (Queen Valley, AZ);Wingtip Toys (Head Office);Gift Shop;Wingtip Toys;Parsa Reuser;90588
205;404;Wingtip Toys (Penns Creek, PA);Wingtip Toys (Head Office);24H Shop;Wingtip Toys;Duleep Srivastava;90195
206;405;Wingtip Toys (Bourbonnais, IL);Wingtip Toys (Head Office);Gas Station Shop;Wingtip Toys;Miran Nikolic;90582
207;406;Wingtip Toys (Tuscaloosa, AL);Wingtip Toys (Head Office);Kiosk ;Wingtip Toys;Calin Bojin;90011
208;407;Wingtip Toys (Mooringsport, LA);Wingtip Toys (Head Office);24H Shop;Wingtip Toys;Lang Le;90387
209;408;Wingtip Toys (Rockwall, TX);Wingtip Toys (Head Office);Novelty Shop;Wingtip Toys;Bhaagyalakshmi Muppavarapu;90500
210;409;Wingtip Toys (Orick, CA);Wingtip Toys (Head Office);Novelty Shop;Wingtip Toys;Dimitry Nechita;90329
211;410;Wingtip Toys (Bernstein, TX);Wingtip Toys (Head Office);24H Shop;Wingtip Toys;Miroslav Kohout;90314
212;411;Wingtip Toys (Edmund, WI);Wingtip Toys (Head Office);24H Shop;Wingtip Toys;Fransje Mutlu;90777
213;412;Wingtip Toys (Bozeman Hot Springs, MT);Wingtip Toys (Head Office);Gift Shop;Wingtip Toys;Chati Ornlamai;90708
